ss Хотя некоторым моим знакомым с такси не везет:(
VBebnev	@MarinaGribanova жаль((
ydacha200580	Окей для заметок возьму(((((
MMakushin19	Из призов мужу бы пригодился планшет - он единственный в семье не имеет оного((( Музыку он не слушает.
riminiserra	Ну не знаю даже:-( у меня с яндексом все в порядке.
southparallel	упаковывала подарки под пинк флойд и сломала от волнения диспенсер для скотча :(
LaysNastusha	@chistyakovak98 шикарны :* мы с тобой не сфоткались :(((
HutchinsPiers	Я сам мучился в этих жутких семидесяти километровых пробках на хайвеях(( В конечном
HairstonMeryl	Для крепких и белых ногтей приготовьте пасту из: (все по пол чайной ложки ...
JaniceJoanna1	Я сам мучился в этих жутких семидесяти километровых пробках на хайвеях(( В конечном
nikoshkaplast	Мир сошел с ума:( работа уходит, в метро нет жетонов, пробки 10 баллов, суета сует:(
derzupari	@cynicarea еще из карты выходит отличный шпатель! жаль, правда, стройматериалы в Крыму подорожали в разы:(
dashasemina1	@channelone_rus просто рыдаю((
Romashkinza	Яндекс показывает трафик 3 балла. Но, по-моему, эти 3 балла аккурат на моей "любимой" Волгоградке (((
martin_camera	@Filonova блин :(
